timestamp;datetime;emission_gr_kWh
1712829600;2024-04-11 12:00:00+02:00;188.157
1712830500;2024-04-11 12:15:00+02:00;187.249
1712831400;2024-04-11 12:30:00+02:00;188.868
1712832300;2024-04-11 12:45:00+02:00;188.765
1712833200;2024-04-11 13:00:00+02:00;191.477
1712834100;2024-04-11 13:15:00+02:00;194.405
1712835000;2024-04-11 13:30:00+02:00;195.834
1712835900;2024-04-11 13:45:00+02:00;194.713
1712836800;2024-04-11 14:00:00+02:00;191.707
1712837700;2024-04-11 14:15:00+02:00;190.302
1712838600;2024-04-11 14:30:00+02:00;193.674
1712839500;2024-04-11 14:45:00+02:00;197.585
1712840400;2024-04-11 15:00:00+02:00;202.868
1712841300;2024-04-11 15:15:00+02:00;209.183
1712842200;2024-04-11 15:30:00+02:00;213.167
1712843100;2024-04-11 15:45:00+02:00;218.531
1712844000;2024-04-11 16:00:00+02:00;217.98
1712844900;2024-04-11 16:15:00+02:00;225.759
1712845800;2024-04-11 16:30:00+02:00;239.233
1712846700;2024-04-11 16:45:00+02:00;258.433
1712847600;2024-04-11 17:00:00+02:00;266.17
1712848500;2024-04-11 17:15:00+02:00;287.107
1712849400;2024-04-11 17:30:00+02:00;291.264
1712850300;2024-04-11 17:45:00+02:00;297.593
1712851200;2024-04-11 18:00:00+02:00;323.628
1712852100;2024-04-11 18:15:00+02:00;332.475
1712853000;2024-04-11 18:30:00+02:00;325.643
1712853900;2024-04-11 18:45:00+02:00;322.543
1712854800;2024-04-11 19:00:00+02:00;347.837
1712855700;2024-04-11 19:15:00+02:00;355.916
1712856600;2024-04-11 19:30:00+02:00;342.782
1712857500;2024-04-11 19:45:00+02:00;348.65
1712858400;2024-04-11 20:00:00+02:00;347.895
1712859300;2024-04-11 20:15:00+02:00;344.357
1712860200;2024-04-11 20:30:00+02:00;350.284
1712861100;2024-04-11 20:45:00+02:00;356.675
1712862000;2024-04-11 21:00:00+02:00;345.775
1712862900;2024-04-11 21:15:00+02:00;355.71
1712863800;2024-04-11 21:30:00+02:00;372.224
1712864700;2024-04-11 21:45:00+02:00;383.948
1712865600;2024-04-11 22:00:00+02:00;380.778
1712866500;2024-04-11 22:15:00+02:00;384.605
1712867400;2024-04-11 22:30:00+02:00;385.649
